company,company_type,year,technology_stage,transistor_architecture,technology_variant,euv_used,source_type,y_position,notes
TSMC,Foundry,2011,Planar,Planar,N28,No,official,3,28nm GP portfolio era (Planar)
TSMC,Foundry,2014,Planar,Planar,N20,No,official,3,20nm volume production (Planar; double-patterning era)
TSMC,Foundry,2015,FinFET,FinFET,N16/16FF,No,official,3,16nm FinFET family begins (baseline 16FF)
TSMC,Foundry,2016,FinFET,FinFET,16FFC,No,official,3,Cost-optimized 16nm FinFET Compact enters production
TSMC,Foundry,2017,FinFET,FinFET,12FFC+,No,official,3,12nm derivative within N16 family (optical shrink / enhancements)
TSMC,Foundry,2018,FinFET,FinFET,N7,No,official,3,7nm FinFET volume production starts
TSMC,Foundry,2019,FinFET,FinFET,N7+,Yes,official,3,EUV introduced (N7+ as EUV-enhanced 7nm)
TSMC,Foundry,2020,FinFET,FinFET,N5,Yes,official,3,5nm FinFET volume production (EUV-heavy node)
TSMC,Foundry,2022,FinFET,FinFET,N3,Yes,official,3,3nm FinFET high-volume era (family variants extend later)
TSMC,Foundry,2025,GAA,Nanosheet,N2,Yes,official,3,GAA (nanosheet) + BSP conceptually paired for next-gen scaling
Samsung,Foundry,2012,Planar,Planar,28RF,No,public,2,
Samsung,Foundry,2014,FinFET,FinFET,14nm (14LPE/14LPP),No,official,2,14nm FinFET mass production starts (mobile-focused variants)
Samsung,Foundry,2015,FD-SOI,FD-SOI,28FDS,No,official,2,FD-SOI branch continues at 28nm for low-power / mixed markets
Samsung,Foundry,2017,FinFET,FinFET,10LPP,No,public,2,
Samsung,Foundry,2018,FinFET,FinFET,8nm,No,official,2,Best pre-EUV FinFET node (specialty extensions like RF/eMRAM)
Samsung,Foundry,2019,FinFET,FinFET,SF7,Yes,official,2,7nm EUV era begins (EUV enters production)
Samsung,Foundry,2021,FinFET,FinFET,SF5,Yes,official,2,5nm FinFET in production (HPC/Auto/IoT messaging)
Samsung,Foundry,2021,FinFET,FinFET,SF4,Yes,official,2.15,4nm FinFET family starts mass production (mobile)
Samsung,Foundry,2023,FinFET,FinFET,SF4P,Yes,public,2,4nm variant introduced (performance-driven)
Samsung,Foundry,2024,FinFET,FinFET,SF4X,Yes,public,2.15,4nm HPC-oriented variant slated for production window
Samsung,Foundry,2025,FinFET,FinFET,SF4A,Yes,public,2.15,4nm automotive-oriented variant expected production window
Samsung,Foundry,2022,GAA,MBCFET,SF3E,Yes,public,2,GAA introduced (MBCFET branded); early generation availability
Samsung,Foundry,2024,GAA,MBCFET,SF3,Yes,public,2,Refined 3nm GAA generation (improved PPA vs SF3E)
Samsung,Foundry,2025,GAA,MBCFET,SF2,Yes,public,2,2nm GAA generation planned for mass production timing
Intel,IDM,2012,FinFET,FinFET,22nm,No,public,1,First FinFET
Intel,IDM,2014,FinFET,FinFET,14nm,No,public,1,Intel FinFET era (legacy anchor point)
Intel,IDM,2019,FinFET,FinFET,Intel10,No,public,1,Transition toward Intel 7 naming later
Intel,IDM,2021,FinFET,FinFET,Intel 7,No,public,1,Brand rename (FinFET generation)
Intel,IDM,2023,FinFET,FinFET,Intel 4,Yes,public,1,"Advanced FinFET node (EUV adoption era),"
Intel,IDM,2024,FinFET,FinFET,Intel 3,Yes,public,1.15,
Intel,IDM,2024,GAA,RibbonFET,20A,Yes,public,1,First Intel GAA generation + backside power (PowerVia concept)
Intel,IDM,2025,GAA,RibbonFET,18A,Yes,public,1,Refined angstrom-era GAA path (conceptual continuation)
