company,node_family,technology_variant,technology_stage,transistor_architecture,euv_used,first_volume_year,application_focus,production_status,notes,source,confidence
Intel,22nm,22nm,FinFET,FinFET,No,2012,,Volume Production,First Tri-Gate transistor,Intel Press Release,high
Intel,14nm,14nm,FinFET,FinFET,No,2014,,Volume Production,Long-lived Intel process,Intel Annual Report,high
Intel,Intel 10,Intel 10,FinFET,FinFET,No,2019,,Volume Production,Delayed production node,Intel Technology History,medium
Intel,Intel 7,Intel 7,FinFET,FinFET,No,2021,,Volume Production,Renamed 10nm Enhanced SuperFin,Intel Press Release,high
Intel,Intel 4,Intel 4,FinFET,FinFET,Yes,2023,,Volume Production,First Intel EUV node,Intel Technology Roadmap,medium
Intel,Intel 3,Intel 3,FinFET,FinFET,Yes,2024,General Purpose,Volume Production,Refined Intel 4 generation,Intel Roadmap,low
Intel,Intel 3,Intel 3-T,FinFET,FinFET,Yes,2024,HPC;AI;Imaging,Volume Production,Refined Intel 4 generation,Intel Roadmap,low
Intel,Intel 3,Intel 3-E,FinFET,FinFET,Yes,2024,IO;Controllers,Volume Production,Refined Intel 4 generation,Intel Roadmap,low
Intel,Intel 3,Intel 3-PT,FinFET,FinFET,Yes,2024,HPC;AI,Volume Production,Refined Intel 4 generation,Intel Roadmap,low
Intel,Intel 20A,Intel 20A,GAA,RibbonFET,Yes,2024,,Volume Production,Angstrom-era node with RibbonFET,Intel Roadmap,low
Intel,Intel 18A,Intel 18A2,GAA,RibbonFET,Yes,2025,,Volume Production,Advanced Angstrom-era process,Intel Roadmap,low
