company,company_type,node_label,node_nm,first_risk_year,first_volume_year,transistor_type,technology_variant ,application_focus ,source,source_note,confidence,notes
Intel,IDM,22nm,22,,2012,FinFET,,,,,,
Intel,IDM,14nm,14,,2014,FinFET,,,Process Technology History - Intel - WikiChip,,,
Intel,IDM,Intel 10,10,,2017,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Intel,IDM,,7,,2021,,EUV,,,,,
,,,,,,,,,,,,
,,,,,2023,,EUV,,,,,
Intel,IDM,Intel 3/Intel 3-T/Intel 3-E/Intel 3-PT,,,2024,FinFET,TSV (3D stacking),HPC ;AI ; Imaging;Controllers,https://www.cool3c.com/article/218560,,,
Intel,IDM,Intel 20A,,,2025,GAA,High-NA EUV,,https://wccftech.com/tsmc-confident-it-can-avoid-high-na-machines-until-2026-says-executive/,,,
Samsung,Foundry,28RF/28eNVM,28,,2012,Planar,,,,,,
Samsung,Foundry,14LPE/14LPP/14LPC/14LPU,14,,2014,FinFET,LPE;LPP;LPC;LPU;eMRAM;AI,Mobile;IoT;Automotive;AI,,,,
Samsung,Foundry,28FDS,28,,2015,FD-SOI,,,,,,
Samsung,Foundry,10LPP,10,,2017,FinFET,,,,,,
Samsung,Foundry,8nm,8,,2018,FinFET,RF;eMRA;Automotive,Mobile;5G;RF;Automotive,,,,
Samsung,Foundry,SF7,7,,2019,FinFET,EUV,Mobile;HPC;Comsumer,,,,
Samsung,Foundry,SF5,5,,2021,FinFET,EUV;HPC,HPC;Automotive;IoT,,,,
Samsung,Foundry,SF4,4,,2021,FinFET,EUV;HPC,Mobile;HPC,,,,
Samsung,Foundry,SF3E,3,,2022,GAA,EUV;HPC,Mobile;5G;HPC;AI,,,,
Samsung,Foundry,SFP4,4,,2323,FinFET,,Mobile,,,,
Samsung,Foundry,SF4X,4,,2024,FinFET,,HPC;AI,,,,
,,SF3,3,,2024,FAA,,,,,,
Samsung,Foundry,SF4A/SF4U,4,,2025,,,Automotive,,,,
Samsung,Foundry,SF2,2,,2025,GAA,HPC,Mobile;HPC;Automotive,,,,
TSMC,Foundry,N28,28,,2011,Planar,GP;HPC;HPC;ULP,,https://www.tsmc.com/english/dedicatedFoundry/technology/logic/l_28nm,,,"First foundry to provide 28nm GP process in 2011; expanded into comprehensive 28nm portfolio incl. 28HPC, 28HPC+, ULP and automotive-grade specialties supporting mobile, IoT and automotive applications"
TSMC,Foundry,22ULP/22ULL,22,,,Planar,ULP;ULL,Mobile;Consumer;IoT;Wearable,https://www.tsmc.com/english/dedicatedFoundry/technology/logic/l_22nm,,,"Derived from 28nm technology; 22ULP targets low power and cost efficiency for consumer and mobile electronics, while 22ULL further reduces leakage using ULL devices and SRAM for IoT and wearable applications"
TSMC,Foundry,N20,20,,2014,Planar,DP,Mobile;Consumer,,,,
TSMC,Foundry,16,,,,,,,,,,
TSMC,Foundry,,,,,,,,,,,
TSMC,Foundry,,,,,,,,,,,
TSMC,Foundry,,,,,,,,,,,
